activation function,epoch,mean accuracy
logistic,1,0.07409130060292851
logistic,2,0.13011197243755382
logistic,3,0.15991386735572782
logistic,4,0.24459948320413433
logistic,5,0.34399655469422913
logistic,6,0.35757105943152456
logistic,7,0.3974849267872524
logistic,8,0.46794142980189496
logistic,9,0.5044444444444445
logistic,10,0.5731438415159344
logistic,11,0.5587424633936262
logistic,12,0.5339362618432386
logistic,13,0.6027217915590007
logistic,14,0.6211714039621017
logistic,15,0.6344530577088717
logistic,16,0.6714728682170542
logistic,17,0.6745219638242894
logistic,18,0.6884926787252369
logistic,19,0.6833247200689061
logistic,20,0.7070973298880275
logistic,21,0.7044099913867357
logistic,22,0.6624289405684756
logistic,23,0.7238070628768304
logistic,24,0.7410335917312662
logistic,25,0.7182773471145564
logistic,26,0.7245133505598623
logistic,27,0.7420155038759689
logistic,28,0.7390525409130061
logistic,29,0.7471145564168818
logistic,30,0.7275624461670973
logistic,31,0.7315762273901809
logistic,32,0.7511627906976744
logistic,33,0.7591559000861327
logistic,34,0.7499397071490094
logistic,35,0.7487166236003445
logistic,36,0.768303186907838
logistic,37,0.7683893195521103
logistic,38,0.767665805340224
logistic,39,0.7743496985357452
logistic,40,0.7699913867355727
logistic,41,0.7711627906976745
logistic,42,0.7808785529715763
logistic,43,0.7698708010335917
logistic,44,0.7875968992248064
logistic,45,0.7769509043927649
logistic,46,0.7865288544358312
logistic,47,0.795383290267011
logistic,48,0.7926614987080104
logistic,49,0.7939018087855296
logistic,50,0.7937295434969853
logistic,51,0.7917312661498709
logistic,52,0.7952282515073213
logistic,53,0.8064599483204135
logistic,54,0.8059603789836347
logistic,55,0.7944530577088716
logistic,56,0.7901636520241171
logistic,57,0.7962962962962964
logistic,58,0.79770887166236
logistic,59,0.8122652885443582
logistic,60,0.7750387596899225
logistic,61,0.8058914728682172
logistic,62,0.8137295434969853
logistic,63,0.8075279931093885
logistic,64,0.8139534883720929
logistic,65,0.7992937123169682
logistic,66,0.7822049956933679
logistic,67,0.8134883720930232
logistic,68,0.8145047372954349
logistic,69,0.7775538329026701
logistic,70,0.7986907838070628
logistic,71,0.803600344530577
logistic,72,0.811541774332472
logistic,73,0.8090439276485787
logistic,74,0.809801894918174
logistic,75,0.8007062876830319
logistic,76,0.8234625322997416
logistic,77,0.8149870801033591
logistic,78,0.8235658914728682
logistic,79,0.8067527993109389
logistic,80,0.8128682170542636
logistic,81,0.8030663221360897
logistic,82,0.8095951765719207
logistic,83,0.813040482342808
logistic,84,0.8191731266149871
logistic,85,0.8298191214470283
logistic,86,0.8239276485788114
logistic,87,0.8097674418604651
logistic,88,0.8207407407407408
logistic,89,0.8155038759689922
logistic,90,0.7794142980189493
logistic,91,0.819052540913006
logistic,92,0.8027562446167098
logistic,93,0.8291472868217054
logistic,94,0.7849267872523686
logistic,95,0.7843583118001722
logistic,96,0.8200172265288544
logistic,97,0.8167097329888028
logistic,98,0.8046683893195521
logistic,99,0.796554694229113
logistic,100,0.826046511627907
tanh,1,0.388733850129199
tanh,2,0.5323686477174849
tanh,3,0.6455813953488372
tanh,4,0.6968647717484927
tanh,5,0.7398449612403102
tanh,6,0.7484754521963823
tanh,7,0.7564685615848408
tanh,8,0.778656330749354
tanh,9,0.7847889750215332
tanh,10,0.7793970714900949
tanh,11,0.7981739879414298
tanh,12,0.7955211024978466
tanh,13,0.801188630490956
tanh,14,0.8172437553832903
tanh,15,0.8184323858742463
tanh,16,0.8246683893195521
tanh,17,0.8205857019810509
tanh,18,0.8310422049956935
tanh,19,0.8268733850129198
tanh,20,0.8309043927648578
tanh,21,0.8246167097329887
tanh,22,0.8241515934539191
tanh,23,0.8304048234280792
tanh,24,0.8362273901808787
tanh,25,0.8416365202411713
tanh,26,0.8374677002583979
tanh,27,0.8374504737295436
tanh,28,0.836795865633075
tanh,29,0.8365891472868217
tanh,30,0.83968992248062
tanh,31,0.8406718346253231
tanh,32,0.8388802756244615
tanh,33,0.8426184323858741
tanh,34,0.836244616709733
tanh,35,0.8391903531438415
tanh,36,0.8426184323858743
tanh,37,0.8400344530577089
tanh,38,0.841068044788975
tanh,39,0.8427562446167097
tanh,40,0.8407235142118863
tanh,41,0.8388802756244617
tanh,42,0.8379155900086133
tanh,43,0.8399483204134368
tanh,44,0.8447717484926787
tanh,45,0.841378122308355
tanh,46,0.8430318690783806
tanh,47,0.8434453057708872
tanh,48,0.8398794142980189
tanh,49,0.8431524547803619
tanh,50,0.8409819121447029
tanh,51,0.8405857019810509
tanh,52,0.843720930232558
tanh,53,0.8436347975882861
tanh,54,0.8429112833763995
tanh,55,0.8414470284237727
tanh,56,0.834625322997416
tanh,57,0.8393970714900948
tanh,58,0.8441343669250645
tanh,59,0.8405167958656331
tanh,60,0.8429285099052541
tanh,61,0.8430663221360896
tanh,62,0.8375366063738157
tanh,63,0.8387941429801896
tanh,64,0.8402411714039622
tanh,65,0.8431352282515073
tanh,66,0.843393626184324
tanh,67,0.841068044788975
tanh,68,0.8422049956933679
tanh,69,0.8399138673557278
tanh,70,0.8425839793281653
tanh,71,0.8421016365202411
tanh,72,0.8426184323858744
tanh,73,0.8408613264427217
tanh,74,0.8420671834625323
tanh,75,0.8412747631352282
tanh,76,0.8378294573643411
tanh,77,0.8449440137812231
tanh,78,0.8436864771748493
tanh,79,0.8439965546942291
tanh,80,0.8431696813092162
tanh,81,0.8386391042204995
tanh,82,0.8429629629629629
tanh,83,0.8437381567614126
tanh,84,0.8389836347975883
tanh,85,0.8447200689061154
tanh,86,0.8447717484926787
tanh,87,0.841894918173988
tanh,88,0.8408957795004307
tanh,89,0.8416020671834625
tanh,90,0.845219638242894
tanh,91,0.8457019810508182
tanh,92,0.8414125753660638
tanh,93,0.8434108527131783
tanh,94,0.8434280792420329
tanh,95,0.8382428940568475
tanh,96,0.8441171403962101
tanh,97,0.8426012058570198
tanh,98,0.8436692506459949
tanh,99,0.8442032730404823
tanh,100,0.8388802756244617
relu,1,0.22127476313522823
relu,2,0.4245133505598622
relu,3,0.6667183462532299
relu,4,0.5333505598621877
relu,5,0.6617743324720069
relu,6,0.7393970714900947
relu,7,0.7133161068044789
relu,8,0.7105598621877692
relu,9,0.7712144702842376
relu,10,0.7354005167958657
relu,11,0.7397416020671834
relu,12,0.825340223944875
relu,13,0.7604651162790698
relu,14,0.8179328165374677
relu,15,0.6881653746770026
relu,16,0.8080620155038761
relu,17,0.7754866494401377
relu,18,0.7983290267011198
relu,19,0.7561584840654609
relu,20,0.7284237726098192
relu,21,0.7977433247200689
relu,22,0.8173298880275625
relu,23,0.8060120585701982
relu,24,0.7983634797588286
relu,25,0.8245478036175711
relu,26,0.7947459086993972
relu,27,0.8113695090439276
relu,28,0.8090439276485788
relu,29,0.7387596899224805
relu,30,0.8057192075796726
relu,31,0.7675968992248061
relu,32,0.8167269595176572
relu,33,0.7887683031869078
relu,34,0.8119896640826874
relu,35,0.8361757105943153
relu,36,0.8227390180878552
relu,37,0.8375021533161069
relu,38,0.8106115417743326
relu,39,0.7451162790697676
relu,40,0.8134194659776056
relu,41,0.706287683031869
relu,42,0.7770887166236002
relu,43,0.8310766580534023
relu,44,0.7627906976744188
relu,45,0.797622739018088
relu,46,0.7425150732127478
relu,47,0.7976744186046512
relu,48,0.823393626184324
relu,49,0.6865116279069768
relu,50,0.815693367786391
relu,51,0.8300258397932816
relu,52,0.8130577088716623
relu,53,0.7871834625322996
relu,54,0.7250301464254953
relu,55,0.7761412575366065
relu,56,0.8351248923341947
relu,57,0.8154005167958656
relu,58,0.8200172265288543
relu,59,0.8118001722652887
relu,60,0.7961412575366064
relu,61,0.8316451335055984
relu,62,0.80015503875969
relu,63,0.8152799310938845
relu,64,0.82687338501292
relu,65,0.7491989664082688
relu,66,0.8283376399655469
relu,67,0.8339018087855298
relu,68,0.7892850990525409
relu,69,0.7976399655469424
relu,70,0.7900947459086994
relu,71,0.7960723514211886
relu,72,0.8297329888027563
relu,73,0.7867011197243756
relu,74,0.8227562446167097
relu,75,0.7483893195521103
relu,76,0.8072868217054264
relu,77,0.7920241171403961
relu,78,0.7532644272179156
relu,79,0.8134194659776055
relu,80,0.7398966408268735
relu,81,0.833006029285099
relu,82,0.7679758828596039
relu,83,0.8291645133505599
relu,84,0.7819465977605513
relu,85,0.8159173126614988
relu,86,0.7849440137812231
relu,87,0.8379672695951764
relu,88,0.798225667527993
relu,89,0.7845305770887165
relu,90,0.7259431524547804
relu,91,0.757743324720069
relu,92,0.7902842377260983
relu,93,0.7985874246339362
relu,94,0.8294229112833763
relu,95,0.8259776055124892
relu,96,0.787476313522825
relu,97,0.7212230835486649
relu,98,0.7822049956933677
relu,99,0.7809819121447028
relu,100,0.7797243755383291
