,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_iterations,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,11.954315137863158,0.4637294288922451,0.06717929840087891,0.010158187702883464,600,4,0.8,"{'iterations': 600, 'max_depth': 4, 'subsample': 0.8}",0.8442188178518464,0.8471073335628829,0.8392852262976384,0.839514092705242,0.8450342138199785,0.8430319368475176,0.0031125463959405654,30
1,11.972151947021484,0.48262607026371235,0.09066519737243653,0.005452715303476454,600,4,0.9,"{'iterations': 600, 'max_depth': 4, 'subsample': 0.9}",0.8430451089316586,0.8485864254209775,0.8375103160679248,0.8392326211830549,0.8409357971656091,0.8418620537538448,0.0038295242960484422,35
2,10.726141166687011,0.32236666148618315,0.08516669273376465,0.011629098972491559,600,4,1.0,"{'iterations': 600, 'max_depth': 4, 'subsample': 1.0}",0.8416035772517596,0.845668891111512,0.8418902042444812,0.8462437898637458,0.8394830078648062,0.8429778940672611,0.00257657081694729,31
3,18.953859996795654,0.30990796890419464,0.09606432914733887,0.018263319103186886,600,6,0.8,"{'iterations': 600, 'max_depth': 6, 'subsample': 0.8}",0.8500335930650804,0.8570479922608996,0.8497864368984571,0.8479900063945958,0.8546599250138003,0.8519035907265666,0.0033869638249829997,25
4,19.324575567245482,0.5579142014715759,0.10445046424865723,0.010302142788757539,600,6,0.9,"{'iterations': 600, 'max_depth': 6, 'subsample': 0.9}",0.8511970601971339,0.8564659200839495,0.8465659107926566,0.8508908027130575,0.85700016942946,0.8524239726432515,0.0038846294281476663,23
5,18.652369689941406,0.35591544513048795,0.08022832870483398,0.009816629972196936,600,6,1.0,"{'iterations': 600, 'max_depth': 6, 'subsample': 1.0}",0.8558918958778852,0.8520836407658212,0.8465491728016528,0.8503278596686834,0.8529017527750906,0.8515508643778267,0.003081102522400793,27
6,38.37577085494995,0.639665736428265,0.09078888893127442,0.018379134990768552,600,8,0.8,"{'iterations': 600, 'max_depth': 8, 'subsample': 0.8}",0.8567209686273546,0.857002560571032,0.8503159039608235,0.8517328261380468,0.8566876130668373,0.8544919744728189,0.002868614675674357,18
7,39.637768507003784,1.150388017916639,0.08214478492736817,0.019174032755014506,600,8,0.9,"{'iterations': 600, 'max_depth': 8, 'subsample': 0.9}",0.858190665224623,0.8552515617570382,0.8479804418283079,0.8561198877393191,0.8566852219252652,0.8548455556949106,0.0035635005567051896,15
8,37.71354389190674,0.18084910548694733,0.09691476821899414,0.011237720347715988,600,8,1.0,"{'iterations': 600, 'max_depth': 8, 'subsample': 1.0}",0.8567260895214217,0.8581619226417878,0.8474103253592178,0.8514633103237196,0.8601967841195406,0.8547916863931373,0.004687815423818269,16
9,104.36921544075012,0.6332369389837197,0.08761467933654785,0.01604138304713195,600,10,0.8,"{'iterations': 600, 'max_depth': 10, 'subsample': 0.8}",0.8578306663717032,0.8598579251996261,0.8517376084211907,0.8531354014658381,0.8647983652789848,0.8574719933474686,0.0047156387149761185,8
10,104.67171277999878,0.8107302729271878,0.09420480728149414,0.016175702029494483,600,10,0.9,"{'iterations': 600, 'max_depth': 10, 'subsample': 0.9}",0.8639644732853198,0.8589752523679133,0.8534933895183284,0.8560768471910235,0.8601489612881011,0.8585317847301372,0.0035703829804188164,4
11,102.87021207809448,0.3849805851912457,0.08926081657409668,0.006845557993073354,600,10,1.0,"{'iterations': 600, 'max_depth': 10, 'subsample': 1.0}",0.8607700595662398,0.8665780577918423,0.8517734755447703,0.8531712685894177,0.8633455759781818,0.8591276874940903,0.005754291379912816,2
12,15.831268215179444,0.4441239521634551,0.08156638145446778,0.022005117124162105,800,4,0.8,"{'iterations': 800, 'max_depth': 4, 'subsample': 0.8}",0.842468496259699,0.8474342367749376,0.8395762623861134,0.8395236572715299,0.8397716528117092,0.8417548611007979,0.003047039914189004,36
13,16.089877796173095,0.327029735596392,0.08751583099365234,0.01560314944557526,800,4,0.9,"{'iterations': 800, 'max_depth': 4, 'subsample': 0.9}",0.8427593630427124,0.8465300436690769,0.8427824416424821,0.8398099110768609,0.8397692616701372,0.842330204220254,0.002487474689337747,32
14,14.665238761901856,0.6472651388306222,0.09062666893005371,0.018938192662256294,800,4,1.0,"{'iterations': 800, 'max_depth': 4, 'subsample': 1.0}",0.8439330719629001,0.8474031519345018,0.8404421972268223,0.8436029447933233,0.8406375876524181,0.8432037907139932,0.0025509843794498666,28
15,24.960518836975098,0.38622098166268165,0.08030109405517578,0.01851392137270928,800,6,0.8,"{'iterations': 800, 'max_depth': 6, 'subsample': 0.8}",0.8521003859105769,0.8526441926686232,0.8486151191198413,0.8506141134740144,0.8546551427306563,0.8517257907807425,0.0020237090206672755,26
16,26.33063898086548,1.891297462188502,0.07940611839294434,0.013094071641190263,800,6,0.9,"{'iterations': 800, 'max_depth': 6, 'subsample': 0.9}",0.8547181869576973,0.8552802554559018,0.8503637267922631,0.8488607235184487,0.8555402067039412,0.8529526198856505,0.002781248040175311,22
17,23.590317964553833,0.4124313903967639,0.08041224479675294,0.016623663888177577,800,6,1.0,"{'iterations': 800, 'max_depth': 6, 'subsample': 1.0}",0.8494723430753222,0.8593691075439833,0.8474294544917936,0.8526728863674871,0.856413314969366,0.8530714212895905,0.0043765988838295675,21
18,50.37101669311524,0.3902919948984396,0.07583432197570801,0.014052038403038355,800,8,0.8,"{'iterations': 800, 'max_depth': 8, 'subsample': 0.8}",0.8590658260206967,0.8573055523673668,0.8494427956953986,0.8505734640672908,0.8587296479693058,0.8550234572240119,0.004152849040455151,13
19,51.35602717399597,0.6586026709771772,0.10336647033691407,0.014579577778257722,800,8,0.9,"{'iterations': 800, 'max_depth': 8, 'subsample': 0.9}",0.8564249809502741,0.8549557433854192,0.8485672962884017,0.8537892078899474,0.8610507632523898,0.8549575983532864,0.004036854477679519,14
20,49.7129093170166,0.6856777621518313,0.08681049346923828,0.02200713354562751,800,8,1.0,"{'iterations': 800, 'max_depth': 8, 'subsample': 1.0}",0.8599461077108375,0.8593451961282637,0.85354360349134,0.8517399995627627,0.8613537550487247,0.8571857323883858,0.0038098944177630757,10
21,138.64454860687255,2.823646272789789,0.11005635261535644,0.006474720313503692,800,10,0.8,"{'iterations': 800, 'max_depth': 10, 'subsample': 0.8}",0.8598744151938975,0.8607501625976268,0.8517423907043347,0.8502274317226604,0.868038020517361,0.8581264841471761,0.0065012180868684825,5
22,140.8952974796295,2.418496386155181,0.1149181842803955,0.01786866090291671,800,10,0.9,"{'iterations': 800, 'max_depth': 10, 'subsample': 0.9}",0.8604740718891593,0.8587081276951581,0.8523340274475726,0.8516969590144672,0.8642258576683227,0.857487808742936,0.004814637088352435,7
23,140.52257118225097,2.89710127338057,0.09870080947875977,0.013059579033650716,800,10,1.0,"{'iterations': 800, 'max_depth': 10, 'subsample': 1.0}",0.8610711681373875,0.8595740625358671,0.8514609191821476,0.8560696737663076,0.8653947843053665,0.8587141215854153,0.004701669291537333,3
24,18.937793254852295,0.3798615904843147,0.07579231262207031,0.008485523307390106,1000,4,0.8,"{'iterations': 1000, 'max_depth': 4, 'subsample': 0.8}",0.8418816417996051,0.8494547514032584,0.8416063415807222,0.8415585187492827,0.841236397820372,0.8431475302706481,0.00316025820059855,29
25,18.710333633422852,0.45961826843598064,0.07492847442626953,0.012948548076338483,1000,4,0.9,"{'iterations': 1000, 'max_depth': 4, 'subsample': 0.9}",0.8404170660964039,0.846241398722174,0.843641203058475,0.838939193953008,0.840360898413375,0.8419199520486872,0.0026537460179449452,34
26,17.997655582427978,0.6655011546804992,0.11086506843566894,0.04802169882095706,1000,4,1.0,"{'iterations': 1000, 'max_depth': 4, 'subsample': 1.0}",0.8404170660964039,0.8494690982526903,0.8439441948548099,0.839223056616767,0.8371403723075745,0.8420387576256492,0.0043218719828311755,33
27,30.59177131652832,0.6329911630544555,0.08499093055725097,0.011818222394382119,1000,6,0.8,"{'iterations': 1000, 'max_depth': 6, 'subsample': 0.8}",0.8523733295643553,0.8582073543316555,0.8518404275087857,0.8511985767925363,0.8567163067657009,0.8540671989926067,0.002836030903667378,20
28,30.20683083534241,0.6671976685766977,0.07804684638977051,0.016384002380197178,1000,6,0.9,"{'iterations': 1000, 'max_depth': 6, 'subsample': 0.9}",0.8532638530426304,0.8558766744822837,0.8459814474741347,0.8517734755447703,0.8546479693059404,0.852308683969952,0.0034477682598761804,24
29,28.173816442489624,0.5223644243145498,0.08813962936401368,0.00879611953251907,1000,6,1.0,"{'iterations': 1000, 'max_depth': 6, 'subsample': 1.0}",0.8535521593786102,0.8567450004645647,0.8497768723321693,0.8544167117567649,0.8566900042084091,0.8542361496281037,0.002557394540020851,19
30,60.122842168807985,0.2849623550970585,0.08805699348449707,0.024368239666431524,1000,8,0.8,"{'iterations': 1000, 'max_depth': 8, 'subsample': 0.8}",0.8619924169800655,0.8573031612257949,0.8509147141287773,0.850563899501003,0.8619310449425306,0.8565410473556343,0.005034525685221375,11
31,61.571550369262695,0.6967772463270275,0.08534460067749024,0.01760909029576977,1000,8,0.9,"{'iterations': 1000, 'max_depth': 8, 'subsample': 0.9}",0.8541006071332006,0.8561294523056071,0.851802169243634,0.8508621090141939,0.8607573360223428,0.8547303347437957,0.003527496412993612,17
32,60.42273874282837,0.9178483078538385,0.07574567794799805,0.02081998328923012,1000,8,1.0,"{'iterations': 1000, 'max_depth': 8, 'subsample': 1.0}",0.8611172561839917,0.8619621297829664,0.8471216804123147,0.8523148983149966,0.8595979739515869,0.8564227877291712,0.005765232081504361,12
33,164.45040493011476,1.0492810844754268,0.10272712707519531,0.01317198215945549,1000,10,0.8,"{'iterations': 1000, 'max_depth': 10, 'subsample': 0.8}",0.8651433030995748,0.8642425956593265,0.8546694895800881,0.8540419857132707,0.8639467772877076,0.8604088302679935,0.00496199154168801,1
34,165.92885475158693,0.8644006749380972,0.11909890174865723,0.013139855700081166,1000,10,0.9,"{'iterations': 1000, 'max_depth': 10, 'subsample': 0.9}",0.8634083441896288,0.8586866074210103,0.8511531451026688,0.8525820229877519,0.8601513524296731,0.8571962944261466,0.004633661997683468,9
35,165.75428547859192,2.172579243551895,0.10881690979003907,0.07571412667364676,1000,10,1.0,"{'iterations': 1000, 'max_depth': 10, 'subsample': 1.0}",0.8598974592171996,0.8572362092617795,0.8488392032443008,0.8557905933856924,0.8680141091016413,0.8579555148421226,0.00621703931164217,6
